network_id,participant_id,parent_participant_id,parent_rank
15,0,,
15,1,,
15,2,,
15,3,,
15,4,,
15,5,,
15,6,,
15,7,,
15,8,,
15,9,,
15,10,,
15,11,,
15,12,,
15,13,,
15,14,,
16,15,,
16,16,,
16,17,,
16,18,,
16,19,,
16,20,,
16,21,,
16,22,,
16,23,,
16,24,,
16,25,,
16,26,,
16,27,,
16,28,,
16,29,,
17,30,,
17,31,,
17,32,,
17,33,,
17,34,,
17,35,,
17,36,,
17,37,,
17,38,,
17,39,,
17,40,,
17,41,,
17,42,,
17,43,,
17,44,,
18,45,,
18,46,,
18,47,,
18,48,,
18,49,,
18,50,,
18,51,,
18,52,,
18,53,,
18,54,,
18,55,,
18,56,,
18,57,,
18,58,,
18,59,,
19,60,,
19,61,,
19,62,,
19,63,,
19,64,,
19,65,,
19,66,,
19,67,,
19,68,,
19,69,,
19,70,,
19,71,,
19,72,,
19,73,,
19,74,,
20,75,,
20,76,,
20,77,,
20,78,,
20,79,,
20,80,,
20,81,,
20,82,,
20,83,,
20,84,,
20,85,,
20,86,,
20,87,,
20,88,,
20,89,,
19,90,64,0
19,90,70,1
19,90,74,2
19,91,70,0
19,91,70,1
19,91,66,2
16,92,27,0
16,92,18,1
16,92,21,2
16,93,17,0
16,93,29,1
19,94,68,0
19,95,68,0
19,95,71,1
18,96,56,0
18,96,49,1
18,96,45,2
20,97,79,0
20,97,83,1
20,97,77,2
17,98,36,0
17,98,39,1
17,98,36,2
17,98,43,3
18,99,58,0
18,99,46,1
18,99,56,2
16,100,17,0
18,101,48,0
18,101,47,1
18,101,54,2
20,102,84,0
20,102,79,1
20,102,85,2
17,103,33,0
17,103,39,1
19,104,71,0
19,104,71,1
19,104,69,2
19,104,61,3
17,105,43,0
17,105,33,1
17,106,44,0
20,107,78,0
15,108,13,0
15,108,8,1
20,109,82,0
20,110,89,0
20,110,77,1
20,110,80,2
15,111,13,0
18,112,56,0
18,112,49,1
15,113,2,0
15,113,9,1
15,113,3,2
16,114,17,0
16,115,16,0
16,115,25,1
16,115,19,2
16,116,23,0
19,117,70,0
19,117,70,1
19,117,70,2
15,118,4,0
15,118,12,1
19,119,71,0
19,119,62,1
19,119,73,2
20,120,77,0
20,120,76,1
20,120,79,2
15,121,10,0
17,122,33,0
17,122,34,1
17,122,42,2
16,123,26,0
18,124,48,0
18,124,51,1
18,124,51,2
18,125,56,0
18,125,58,1
18,125,51,2
15,126,3,0
15,126,2,1
18,127,47,0
18,127,58,1
16,128,17,0
16,128,20,1
16,128,29,2
20,129,78,0
20,129,89,1
20,129,79,2
18,130,48,0
18,130,52,1
18,130,52,2
18,130,51,3
20,131,87,0
20,131,85,1
20,131,80,2
17,132,39,0
17,132,37,1
17,132,32,2
17,133,32,0
17,133,34,1
17,133,37,2
19,134,61,0
20,135,85,0
18,136,51,0
18,136,52,1
18,136,56,2
15,137,6,0
15,137,8,1
15,137,7,2
18,138,55,0
18,138,56,1
18,138,55,2
18,138,55,3
18,138,55,4
18,138,55,5
19,139,62,0
19,139,69,1
19,139,73,2
20,140,87,0
19,141,68,0
19,141,74,1
20,142,83,0
20,142,82,1
20,142,86,2
16,143,17,0
17,144,39,0
17,144,35,1
17,144,37,2
17,145,35,0
17,145,40,1
17,145,36,2
19,146,69,0
19,146,72,1
19,146,63,2
16,147,25,0
16,147,15,1
16,147,18,2
17,148,30,0
16,149,16,0
16,149,17,1
16,149,25,2
16,150,26,0
16,150,29,1
16,150,24,2
18,151,51,0
18,151,50,1
18,151,58,2
20,152,79,0
20,152,89,1
20,152,77,2
16,153,19,0
16,153,23,1
19,154,74,0
19,154,71,1
17,155,39,0
17,155,32,1
17,155,42,2
19,156,70,0
19,156,60,1
20,157,76,0
20,157,86,1
20,157,89,2
16,158,21,0
16,158,24,1
16,158,21,2
18,159,55,0
18,159,47,1
18,159,57,2
20,160,76,0
20,160,83,1
20,161,79,0
20,161,76,1
16,162,27,0
16,162,20,1
16,162,16,2
19,163,67,0
19,163,63,1
15,164,14,0
15,164,2,1
15,164,5,2
15,165,12,0
15,165,10,1
15,165,2,2
15,166,2,0
15,166,14,1
15,166,2,2
15,166,3,3
17,167,32,0
18,168,58,0
18,168,49,1
19,169,71,0
19,169,72,1
19,169,63,2
18,170,49,0
18,170,54,1
18,170,59,2
15,171,10,0
15,171,14,1
15,171,9,2
18,172,48,0
15,173,8,0
15,173,12,1
15,173,5,2
17,174,32,0
17,175,40,0
17,175,44,1
17,175,39,2
17,176,32,0
17,176,40,1
17,176,39,2
15,177,7,0
15,178,4,0
15,178,1,1
15,178,3,2
15,179,1,0
15,179,14,1
16,180,149,0
16,180,115,1
16,180,123,2
18,181,124,0
20,182,110,0
