participant_id,network_id,generation,condition,cloned,replication,trial_index,num_comparisons,trial_successful,trial_score
0,15,0,A,False,5,0,28,True,0.30204082
1,15,0,A,False,5,0,0,False,0.0
2,15,0,A,False,5,0,17,True,0.47681661
3,15,0,A,False,5,0,45,True,0.23950617
4,15,0,A,False,5,0,29,True,0.29512485
5,15,0,A,False,5,0,15,False,0.0
6,15,0,A,False,5,0,4,False,0.0
7,15,0,A,False,5,0,0,False,0.0
8,15,0,A,False,5,0,13,True,0.67337278
9,15,0,A,False,5,0,1,False,0.0
10,15,0,A,False,5,0,7,True,1.0
11,15,0,A,False,5,0,18,False,0.0
12,15,0,A,False,5,0,12,False,0.0
13,15,0,A,False,5,0,3,False,0.0
14,15,0,A,False,5,0,10,False,0.0
15,16,0,A,False,6,0,7,False,0.0
16,16,0,A,False,6,0,7,False,0.0
17,16,0,A,False,6,0,32,True,0.278125
18,16,0,A,False,6,0,15,True,0.55555556
19,16,0,A,False,6,0,9,False,0.0
20,16,0,A,False,6,0,7,False,0.0
21,16,0,A,False,6,0,6,False,0.0
22,16,0,A,False,6,0,23,False,0.0
23,16,0,A,False,6,0,14,True,0.60816327
24,16,0,A,False,6,0,7,False,0.0
25,16,0,A,False,6,0,14,True,0.60816327
26,16,0,A,False,6,0,8,True,1.0
27,16,0,A,False,6,0,0,False,0.0
28,16,0,A,False,6,0,4,False,0.0
29,16,0,A,False,6,0,15,False,0.0
30,17,0,A,False,7,0,15,False,0.0
31,17,0,A,False,7,0,30,True,0.28888889
32,17,0,A,False,7,0,9,True,1.0
33,17,0,A,False,7,0,4,False,0.0
34,17,0,A,False,7,0,3,False,0.0
35,17,0,A,False,7,0,16,False,0.0
36,17,0,A,False,7,0,20,True,0.4
37,17,0,A,False,7,0,14,True,0.60816327
38,17,0,A,False,7,0,25,False,0.0
39,17,0,A,False,7,0,3,False,0.0
40,17,0,A,False,7,0,12,True,0.75555556
41,17,0,A,False,7,0,11,False,0.0
42,17,0,A,False,7,0,3,False,0.0
43,17,0,A,False,7,0,4,False,0.0
44,17,0,A,False,7,0,17,True,0.47681661
45,18,0,A,False,8,0,25,True,0.328
46,18,0,A,False,8,0,1,False,0.0
47,18,0,A,False,8,0,0,False,0.0
48,18,0,A,False,8,0,4,False,0.0
49,18,0,A,False,8,0,11,False,0.0
50,18,0,A,False,8,0,0,False,0.0
51,18,0,A,False,8,0,11,False,0.0
52,18,0,A,False,8,0,9,False,0.0
53,18,0,A,False,8,0,31,False,0.0
54,18,0,A,False,8,0,12,True,0.75555556
55,18,0,A,False,8,0,6,False,0.0
56,18,0,A,False,8,0,20,False,0.0
57,18,0,A,False,8,0,9,False,0.0
58,18,0,A,False,8,0,12,False,0.0
59,18,0,A,False,8,0,24,True,0.33888889
60,19,0,A,False,9,0,11,False,0.0
61,19,0,A,False,9,0,10,False,0.0
62,19,0,A,False,9,0,19,False,0.0
63,19,0,A,False,9,0,10,False,0.0
64,19,0,A,False,9,0,65,True,0.21893491
65,19,0,A,False,9,0,4,False,0.0
66,19,0,A,False,9,0,15,True,0.55555556
67,19,0,A,False,9,0,6,False,0.0
68,19,0,A,False,9,0,21,True,0.3814059
69,19,0,A,False,9,0,18,True,0.44691358
70,19,0,A,False,9,0,14,True,0.60816327
71,19,0,A,False,9,0,21,False,0.0
72,19,0,A,False,9,0,8,False,0.0
73,19,0,A,False,9,0,7,False,0.0
74,19,0,A,False,9,0,6,False,0.0
75,20,0,A,False,10,0,3,False,0.0
76,20,0,A,False,10,0,17,True,0.47681661
77,20,0,A,False,10,0,15,True,0.55555556
78,20,0,A,False,10,0,24,True,0.33888889
79,20,0,A,False,10,0,0,False,0.0
80,20,0,A,False,10,0,2,False,0.0
81,20,0,A,False,10,0,1,False,0.0
82,20,0,A,False,10,0,46,True,0.23780718
83,20,0,A,False,10,0,6,False,0.0
84,20,0,A,False,10,0,10,True,1.0
85,20,0,A,False,10,0,0,False,0.0
86,20,0,A,False,10,0,17,True,0.47681661
87,20,0,A,False,10,0,13,False,0.0
88,20,0,A,False,10,0,14,False,0.0
89,20,0,A,False,10,0,16,False,0.0
90,19,1,RM,False,9,0,11,True,0.86115702
91,19,1,RM,False,9,0,10,False,0.0
92,16,1,RM,False,6,0,12,False,0.0
93,16,1,RM,False,6,0,14,False,0.0
94,19,1,RM,False,9,0,4,False,0.0
95,19,1,RM,False,9,0,0,False,0.0
96,18,1,RM,False,8,0,10,False,0.0
97,20,1,RM,False,10,0,5,False,0.0
98,17,1,RM,False,7,0,10,False,0.0
99,18,1,RM,False,8,0,15,True,0.55555556
100,16,1,RM,False,6,0,18,True,0.44691358
101,18,1,RM,False,8,0,18,True,0.44691358
102,20,1,RM,False,10,0,3,False,0.0
103,17,1,RM,False,7,0,0,False,0.0
104,19,1,RM,False,9,0,15,True,0.55555556
105,17,1,RM,False,7,0,1,False,0.0
106,17,1,RM,False,7,0,2,False,0.0
107,20,1,RM,False,10,0,1,False,0.0
108,15,1,RM,False,5,0,7,False,0.0
109,20,1,RM,False,10,0,14,False,0.0
110,20,1,RM,False,10,0,2,False,0.0
111,15,1,RM,False,5,0,8,False,0.0
112,18,1,RM,False,8,0,4,False,0.0
113,15,1,RM,False,5,0,7,True,1.0
114,16,1,RM,False,6,0,8,False,0.0
115,16,1,RM,False,6,0,4,False,0.0
116,16,1,RM,False,6,0,25,True,0.328
117,19,1,RM,False,9,0,3,False,0.0
118,15,1,RM,False,5,0,13,True,0.67337278
119,19,1,RM,False,9,0,16,False,0.0
120,20,1,RM,False,10,0,6,False,0.0
121,15,1,RM,False,5,0,7,False,0.0
122,17,1,RM,False,7,0,0,False,0.0
123,16,1,RM,False,6,0,18,False,0.0
124,18,1,RM,False,8,0,9,False,0.0
125,18,1,RM,False,8,0,7,False,0.0
126,15,1,RM,False,5,0,0,False,0.0
127,18,1,RM,False,8,0,7,False,0.0
128,16,1,RM,False,6,0,10,False,0.0
129,20,1,RM,False,10,0,11,False,0.0
130,18,1,RM,False,8,0,8,False,0.0
131,20,1,RM,False,10,0,12,True,0.75555556
132,17,1,RM,False,7,0,9,False,0.0
133,17,1,RM,False,7,0,20,False,0.0
134,19,1,RM,False,9,0,21,False,0.0
135,20,1,RM,False,10,0,3,False,0.0
136,18,1,RM,False,8,0,16,False,0.0
137,15,1,RM,False,5,0,2,False,0.0
